source  target  weight
Specificity_I/REase_I	DMS_other	6.56
Specificity_I/REase_I	RM_type_I	91.22
Specificity_II/Specificity_I/MTase_II/MTase_I	DMS_other	16.42
Specificity_II/Specificity_I/MTase_II/MTase_I	RM_type_I	82.89
Specificity_I/REase_I	DMS_other	4.41
Specificity_I/REase_I	RM_type_I	93.47
Specificity_I/REase_I	DMS_other	7.93
Specificity_I/REase_I	RM_type_I	91.18
Specificity_I/MTase_I	DMS_other	22.57
Specificity_I/MTase_I	RM_type_I	73.89
PbeA/Specificity_I/REase_I	DMS_other	9.93
PbeA/Specificity_I/REase_I	RM_type_I	88.8
GajA/PtuA1/AbiLi/AriA/NsnB	gabija	95.23
GajA/PtuA1/AbiLi/AriA/NsnB	meta	4.35
Cas3b/Cas3e/Cas1e/Cas3/Cas3a1/Cas7e/Cas1	cas_adaptation	3.28
Cas3b/Cas3e/Cas1e/Cas3/Cas3a1/Cas7e/Cas1	cas_type_I-E	92.27
Cas3b/Cas3e/Cas1e/Cas3/Cas3a1/Cas7e/Cas1	cas_type_other	4.33
MTase_II/MTase_III	DMS_other	3.32
MTase_II/MTase_III	RM_type_III	95.52
GajB/Cas4/RTasHel/PD-T4-6	gabija	61.91
GajB/Cas4/RTasHel/PD-T4-6	meta	38.02
Specificity_I/Specificity_II/MTase_I	DMS_other	9.29
Specificity_I/Specificity_II/MTase_I	RM_type_I	90.34
DrmMII/DruM2/Vsr/MTase_II/oMTase/HTH_VI	VSPR	25.78
DrmMII/DruM2/Vsr/MTase_II/oMTase/HTH_VI	DMS_other	8.8
DrmMII/DruM2/Vsr/MTase_II/oMTase/HTH_VI	meta	17.62
DrmMII/DruM2/Vsr/MTase_II/oMTase/HTH_VI	RM_type_II	45.91
Specificity_I/PtuA1/AbiLi/ATPase_I-A/Specificity_II/AriA	septu_type_I	24.1
Specificity_I/PtuA1/AbiLi/ATPase_I-A/Specificity_II/AriA	RM_type_I	59.24
Specificity_I/PtuA1/AbiLi/ATPase_I-A/Specificity_II/AriA	DMS_other	11.93
PglX/DrmMI/REase_MTase_IIG/PglZ	brex_type_I	63.01
PglX/DrmMI/REase_MTase_IIG/PglZ	DMS_other	29.57
DpdJ/SngC/BrxHI	brex_type_II	8.73
DpdJ/SngC/BrxHI	Shango	48.57
DpdJ/SngC/BrxHI	DMS_other	11.25
DpdJ/SngC/BrxHI	meta	30.77
JetC1	wadjet_type_I	53.26
JetC1	wadjet_other	46.73
Cas2_IIIa/Cas1_II/Cas1a/Cas1b/Cas2_II/Cas2/Cas1_IIIa/Cas1	cas_type_II-A	39.25
Cas2_IIIa/Cas1_II/Cas1a/Cas1b/Cas2_II/Cas2/Cas1_IIIa/Cas1	cas_adaptation	6.96
Cas2_IIIa/Cas1_II/Cas1a/Cas1b/Cas2_II/Cas2/Cas1_IIIa/Cas1	cas_type_II-C	46.04
Cas2_IIIa/Cas1_II/Cas1a/Cas1b/Cas2_II/Cas2/Cas1_IIIa/Cas1	cas_type_other	4.64
Specificity_I/MTase_II/MTase_I	DMS_other	10.47
Specificity_I/MTase_II/MTase_I	RM_type_I	88.36
Cas3b/Cas3e/Cas3/Cas3a1/Cas8e/Cas11e	cas_type_I-E	96.97
PbeA/Specificity_I/REase_I	RM_type_I	96.12
DrmMII/DruM2/MTase_II/oMTase/REase_II	VSPR	62.53
DrmMII/DruM2/MTase_II/oMTase/REase_II	meta	7.56
DrmMII/DruM2/MTase_II/oMTase/REase_II	RM_type_II	27.97
Cas3f/Cas3/Cas3a1/Cas1fv/Cas1f/Cas23f/Cas1	cas_type_I-F1	88.9
Cas3f/Cas3/Cas3a1/Cas1fv/Cas1f/Cas23f/Cas1	cas_type_other	8.22
BrxC/PglZ	brex_type_I	69.91
BrxC/PglZ	DMS_other	27.68
Specificity_I/AbiEii	AbiE	58.42
Specificity_I/AbiEii	DMS_other	5.01
Specificity_I/AbiEii	RM_type_I	36.33
Cas4_II/Cas1g/Cas4c/Cas1_II/Cas4/Cas1d/Cas1a/Cas1b/Cas1c/Cas4d/Cas1_IIIa/Cas1	cas_adaptation	3.44
Cas4_II/Cas1g/Cas4c/Cas1_II/Cas4/Cas1d/Cas1a/Cas1b/Cas1c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-C	84.99
Cas4_II/Cas1g/Cas4c/Cas1_II/Cas4/Cas1d/Cas1a/Cas1b/Cas1c/Cas4d/Cas1_IIIa/Cas1	cas_type_other	3.99
Cas4_II/Cas1g/Cas4c/Cas1_II/Cas4/Cas1d/Cas1a/Cas1b/Cas1c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-D	4.42
REase_III	RM_type_III	97.39
AbiLi	AbiL	97.67
HerA/DUF4297	GAO_20	16.0
HerA/DUF4297	GAO_19	79.35
HerA/DUF4297	meta	4.65
Cas3c/Cas3b/Cas3a1/Cas3/WYL	cas_type_I-B1	17.02
Cas3c/Cas3b/Cas3a1/Cas3/WYL	cas_type_I-C	76.62
Cas3c/Cas3b/Cas3a1/Cas3/WYL	cas_type_other	4.37
Specificity_I/Specificity_II	DMS_other	15.57
Specificity_I/Specificity_II	RM_type_I	84.04
ZorA3	zorya_type_III	86.99
ZorA3	zorya_other	13.01
REase_III/PglX/MTase_II/REase_MTase_IIG	RM_type_III	67.68
REase_III/PglX/MTase_II/REase_MTase_IIG	RM_type_IIG	27.94
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_type_III-B	4.57
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_adaptation	6.52
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_type_I-B1	21.16
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_type_I-C	43.65
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_type_other	7.14
Cas2b/Cas2_IIIb/Cas2_IIIa/Cas2g/Cas2/Cas2a/Cas2c/Cas2d	cas_type_I-D	7.03
Specificity_I	DMS_other	16.37
Specificity_I	RM_type_I	83.43
Cas5f/Cas8f	cas_type_I-F1	96.98
Cas5f/Cas8f	cas_type_other	3.02
Cas2/Cas1/Cas2e/Cas1e	cas_type_I-E	94.0
Cas2/Cas1/Cas2e/Cas1e	cas_type_other	3.32
MTase_I	RM_type_I	86.05
MTase_I	DMS_other	13.46
Control_protein/RmrA/HTH_VI	RosmerTA	92.17
Control_protein/RmrA/HTH_VI	meta	6.7
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_adaptation	6.56
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-G	10.22
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-B1	51.09
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-C	4.64
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	meta	4.56
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_type_other	8.52
Cas1g/Cas4c/Cas1_II/Cas1d/Cas4/Cas1a/Cas1b/Cas2g/Cas1c/Cas2c/Cas4d/Cas1_IIIa/Cas1	cas_type_I-D	8.12
PbeA/MTase_I/REase_I	DMS_other	14.73
PbeA/MTase_I/REase_I	RM_type_I	85.04
Cas5e/Cas7e	cas_type_other	3.35
Cas5e/Cas7e	cas_type_I-E	96.65
Effector/Specificity_I/MTase_I	DMS_other	9.86
Effector/Specificity_I/MTase_I	RM_type_I	89.8
Specificity_I/PtuA1/AbiLi/Specificity_II/AriA	septu_type_I	24.53
Specificity_I/PtuA1/AbiLi/Specificity_II/AriA	RM_type_I	56.92
Specificity_I/PtuA1/AbiLi/Specificity_II/AriA	DMS_other	16.35
IetA/TRIP13	ietAS	98.71
MTase_I	DMS_other	10.87
MTase_I	RM_type_I	88.63
IetA/DolB	meta	100.0
Specificity_I/Specificity_II	DMS_other	20.33
Specificity_I/Specificity_II	RM_type_I	79.54
SspA/DndA	DMS_other	37.49
SspA/DndA	PT_DndABCDE	24.01
SspA/DndA	meta	19.41
SspA/DndA	PT_SspABCD	19.09
DrmA	disarm_type_I	14.49
DrmA	DMS_other	82.41
Cas4c/Cas7b/Cas4/Cas7c/Cas4d	cas_type_I-C	87.58
Cas4c/Cas7b/Cas4/Cas7c/Cas4d	cas_type_other	4.72
Cas4c/Cas7b/Cas4/Cas7c/Cas4d	cas_type_I-D	5.91
DrmB/DrmC	disarm_type_I	15.19
DrmB/DrmC	DMS_other	81.38
DrmB/DrmC	disarm_type_II	3.3
MTase_II/MTase_III	DMS_other	9.79
MTase_II/MTase_III	RM_type_III	88.93
JetC2	wadjet_type_II	70.22
JetC2	wadjet_other	29.62
DruE2/DruE1/DruE4/DruE3	druantia_type_I	4.64
DruE2/DruE1/DruE4/DruE3	druantia_type_IV	6.69
DruE2/DruE1/DruE4/DruE3	druantia_type_II	8.63
DruE2/DruE1/DruE4/DruE3	druantia_other	25.57
DruE2/DruE1/DruE4/DruE3	druantia_type_III	52.28
GajA/AriA	gabija	98.89
DrmMII/MTase_II/DruM2/REase_II	VSPR	8.4
DrmMII/MTase_II/DruM2/REase_II	meta	10.96
DrmMII/MTase_II/DruM2/REase_II	RM_type_II	77.66
Helicase_II/MzaC	mza_other	28.88
Helicase_II/MzaC	mza	69.48
ZorF3	zorya_type_III	94.52
ZorF3	zorya_other	5.46
HamB2/HamB1	hachiman_type_II	8.0
HamB2/HamB1	hachiman_type_I	89.78
Cas5e/Cas6e/Cas6	cas_type_I-E	94.79
Cas5e/Cas6e/Cas6	cas_type_other	4.96
Specificity_I/Specificity_II/MTase_I/REase_MTase_IIG	DMS_other	37.64
Specificity_I/Specificity_II/MTase_I/REase_MTase_IIG	RM_type_IIG	59.72
PrrC/PtuA1/Specificity_I/LmuB	PrrC	73.27
PrrC/PtuA1/Specificity_I/LmuB	RM_type_I	24.17
SngB/BrxD	Shango	96.35
SngB/BrxD	DMS_other	3.57
IetS	ietAS	99.31
Cas5e/Cas5	cas_type_I-E	97.09
REase_III	DMS_other	10.45
REase_III	RM_type_III	89.39
AbiEi	AbiE	97.29
JetA2/JetD2	wadjet_type_II	71.2
JetA2/JetD2	wadjet_other	28.6
MzaB	mza_other	16.98
MzaB	mza	78.94
MzaB	meta	4.08
PD-Lambda-3_A/Vsr	VSPR	90.97
PD-Lambda-3_A/Vsr	meta	9.03
JetB1	wadjet_type_I	29.25
JetB1	wadjet_other	70.75
ZorG3	zorya_type_III	94.19
ZorG3	zorya_other	5.81
AbiEii	AbiE	99.89
GajB	gabija	99.67
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_III-B	12.52
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_III-D	8.32
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_V	3.68
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_adaptation	13.74
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_I-B1	11.89
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_III-A	16.81
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_I-C	4.83
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	cas_type_other	13.74
Cas1_IIIb/Cas1g/Cas1_II/Cas1d/Cas1a/Cas1b/RT/C3a216/Cas1c/Cas6/Cas1_IIIa/Cas1	meta	3.99
