cluster	system	occurrence
1	RM_type_I	91.22
1	DMS_other	6.56
2	RM_type_I	82.89
2	DMS_other	16.42
3	DMS_other	4.41
3	RM_type_I	93.47
4	RM_type_I	91.18
4	DMS_other	7.93
5	RM_type_I	73.89
5	DMS_other	22.57
6	RM_type_I	88.8
6	DMS_other	9.93
7	gabija	95.23
7	meta	4.35
8	cas_type_other	4.33
8	cas_type_I-E	92.27
8	cas_adaptation	3.28
9	DMS_other	3.32
9	RM_type_III	95.52
10	gabija	61.91
10	meta	38.02
11	RM_type_I	90.34
11	DMS_other	9.29
12	RM_type_II	45.91
12	meta	17.62
12	DMS_other	8.8
12	VSPR	25.78
13	RM_type_I	59.24
13	septu_type_I	24.1
13	DMS_other	11.93
14	brex_type_I	63.01
14	DMS_other	29.57
15	Shango	48.57
15	brex_type_II	8.73
15	meta	30.77
15	DMS_other	11.25
16	wadjet_other	46.73
16	wadjet_type_I	53.26
17	cas_type_II-C	46.04
17	cas_type_other	4.64
17	cas_adaptation	6.96
17	cas_type_II-A	39.25
18	RM_type_I	88.36
18	DMS_other	10.47
19	cas_type_I-E	96.97
20	RM_type_I	96.12
21	RM_type_II	27.97
21	meta	7.56
21	VSPR	62.53
22	cas_type_other	8.22
22	cas_type_I-F1	88.9
23	brex_type_I	69.91
23	DMS_other	27.68
24	RM_type_I	36.33
24	DMS_other	5.01
24	AbiE	58.42
25	cas_type_other	3.99
25	cas_type_I-D	4.42
25	cas_type_I-C	84.99
25	cas_adaptation	3.44
26	RM_type_III	97.39
27	AbiL	97.67
28	GAO_20	16
28	meta	4.65
28	GAO_19	79.35
29	cas_type_other	4.37
29	cas_type_I-C	76.62
29	cas_type_I-B1	17.02
30	RM_type_I	84.04
30	DMS_other	15.57
31	zorya_other	13.01
31	zorya_type_III	86.99
32	RM_type_III	67.68
32	RM_type_IIG	27.94
33	cas_type_III-B	4.57
33	cas_type_other	7.14
33	cas_type_I-D	7.03
33	cas_type_I-C	43.65
33	cas_type_I-B1	21.16
33	cas_adaptation	6.52
34	RM_type_I	83.43
34	DMS_other	16.37
35	cas_type_other	3.02
35	cas_type_I-F1	96.98
36	cas_type_other	3.32
36	cas_type_I-E	94
37	RM_type_I	86.05
37	DMS_other	13.46
38	meta	6.7
38	RosmerTA	92.17
39	cas_type_I-G	10.22
39	cas_type_other	8.52
39	cas_type_I-D	8.12
39	meta	4.56
39	cas_type_I-C	4.64
39	cas_type_I-B1	51.09
39	cas_adaptation	6.56
40	RM_type_I	85.04
40	DMS_other	14.73
41	cas_type_I-E	96.65
41	cas_type_other	3.35
42	RM_type_I	89.8
42	DMS_other	9.86
43	RM_type_I	56.92
43	septu_type_I	24.53
43	DMS_other	16.35
44	ietAS	98.71
45	RM_type_I	88.63
45	DMS_other	10.87
46	meta	100
47	RM_type_I	79.54
47	DMS_other	20.33
48	PT_SspABCD	19.09
48	DMS_other	37.49
48	meta	19.41
48	PT_DndABCDE	24.01
49	DMS_other	82.41
49	disarm_type_I	14.49
50	cas_type_other	4.72
50	cas_type_I-D	5.91
50	cas_type_I-C	87.58
